date,Lat,Lon,CPUE,Class,Chla,WS,D0,D50,D100,D150,D200,D250,D300,D350,D400,D450,D500,MLD,T0,T50,T100,T150,T200,T250,T300,T400,T500,S100,S200,S300,S400,S500,EKE
2016/1/5,-35.5,7.5,1.19047619,1,0.021752265,0.706467663,0.229690898,0.835815714,0.590120529,0.64991988,0.817967738,0.894367952,0.917409793,0.900528536,0.796205691,0.738904787,0.694899274,0.091428571,0.698870432,0.836199036,0.558343999,0.248088219,0.269104722,0.483486735,0.454067122,0.60572843,0.661332406,0.568524096,0.229035639,0.36,0.501504514,0.576923077,0.110571
2016/1/6,-33.5,-8.5,0,0,0.002641052,0.328358214,0.164421713,0.721902028,0.915651541,0.918459899,0.718555289,0.745777588,0.894978325,0.928645155,0.955877772,0.961985824,0.964512733,0.200714286,0.772093023,0.845121792,0.80173613,0.63016735,0.491285565,0.483892799,0.370449374,0.495933522,0.472429988,0.920180723,0.442348008,0.264347826,0.354062187,0.38045738,0.013837974
2016/1/7,-33.5,-8.5,0.833333333,1,0.002688358,0.386401316,0.162315797,0.724152962,0.914963086,0.914261486,0.717711561,0.747667257,0.897200965,0.931653005,0.95876748,0.964480544,0.966761093,0.184285714,0.736079734,0.841279145,0.792944188,0.632882633,0.497988977,0.475636167,0.362343572,0.472949081,0.459906071,0.926204819,0.450733753,0.25826087,0.34002006,0.374220374,0.010615636
2016/1/8,-33.5,-9,0,0,0.002921629,0.471807636,0.165961571,0.723809961,0.910556252,0.947885814,0.711704985,0.749338416,0.813493305,0.870721089,0.910177706,0.915959553,0.929071894,0.198571429,0.742192691,0.846750033,0.785153859,0.641194725,0.503351706,0.56930157,0.399886234,0.440063649,0.413289268,0.93185241,0.418763103,0.279130435,0.313941825,0.349272349,0.001981579
2016/1/9,-33.5,-9.5,0,0,0.005042507,0.703150917,0.164314446,0.72755537,0.914953433,1,0.697510951,0.700114613,0.802341351,0.848816971,0.922477772,0.93748612,0.943375478,0.244285714,0.755348837,0.839585776,0.752434478,0.60922088,0.478772531,0.571602599,0.39092719,0.369165488,0.347712646,0.907003012,0.374737945,0.24,0.261785356,0.301455301,0.006636636
2016/1/10,-33,-9.5,3,1,0.003006821,0.572139314,0.172046693,0.729067487,0.918058152,0.980939405,0.666278086,0.637495352,0.753290921,0.812708948,0.892837556,0.912834512,0.924779356,0.262857143,0.733687708,0.839520646,0.740359468,0.584007536,0.474750484,0.577693557,0.389931741,0.349363508,0.345103496,0.914909639,0.375262055,0.249565217,0.25777332,0.3004158,0.010503814
2016/1/11,-33.5,-9.5,0.769230769,1,0.005037287,0.486732994,0.156321787,0.727258308,0.915922152,0.996751073,0.689513147,0.691777497,0.799579763,0.847069646,0.921632054,0.937086881,0.943307794,0.245714286,0.76345515,0.830402501,0.735017528,0.583453397,0.458364368,0.549539794,0.37741752,0.35519802,0.337971821,0.903614458,0.353249476,0.232173913,0.255767302,0.298336798,0.003028513
2016/1/12,-33.5,-9.5,0,0,0.005352759,0.367330004,0.154196485,0.729296613,0.916635094,0.997550344,0.68763552,0.686642627,0.79829226,0.846975256,0.922149577,0.937357676,0.943517552,0.237857143,0.793222591,0.827536798,0.722886873,0.579685249,0.45337405,0.539794261,0.370307167,0.349540311,0.332405636,0.90248494,0.347484277,0.226956522,0.252758275,0.296257796,0.005369786
2016/1/13,-34.5,8,1.666666667,1,0.020969988,0.257877293,0.250177539,0.789163128,0.624510946,0.620734626,0.799210633,0.891574624,0.921011405,0.895999948,0.732430784,0.663986219,0.624462722,0.085714286,0.75627907,0.810537971,0.609593234,0.325667738,0.230895278,0.376962642,0.31754835,0.443422914,0.513480605,0.542168675,0.190775681,0.28173913,0.397191575,0.452182952,0.000316829
2016/1/14,-33.5,7.5,0.384615385,1,0.019037042,0.46102819,0.208769373,0.760858728,0.623059399,0.645861931,0.809769749,0.884965051,0.897757869,0.860389307,0.715711975,0.653917603,0.611487371,0.080714286,0.726644518,0.807151231,0.863279728,0.521833093,0.279606733,0.364780726,0.266211604,0.330091938,0.427726561,0.542921687,0.241090147,0.243478261,0.311935807,0.410602911,0.012647069
